Sample	Total	AS_neg	AS_pos	AS_total	SI	Histology
BS_C41DJZ1F	7284	251	112	363	0.049835255354201	HGG
BS_C51RB0YR	13281	345	104	449	0.0338076952036744	LGG
BS_C6SKJG3N	10929	44	32	76	0.00695397566108519	LGG
BS_C6ZZ3FY5	3926	93	250	343	0.087366276107998	HGG
BS_C7A2TYAC	11428	68	51	119	0.0104130206510326	LGG
BS_C80S5N37	7268	82	161	243	0.0334342322509631	EPN
BS_C83TK159	5879	90	144	234	0.0398026875318932	HGG
BS_CB6VK7PB	13485	50	45	95	0.00704486466444197	LGG
BS_CGB2WS2A	11116	71	54	125	0.0112450521770421	LGG
BS_CHDGRYHJ	4815	121	517	638	0.132502596053998	MB
BS_CS170P7T	6734	112	135	247	0.0366795366795367	LGG
BS_CTR5X93B	9226	62	47	109	0.011814437459354	LGG
BS_CVGFNCBJ	9945	190	163	353	0.0354952237305178	LGG
BS_CXVGG342	12382	251	67	318	0.0256824422548861	HGG
BS_CXVJK2FY	8843	117	123	240	0.0271401108221192	EPN
BS_CZ3ER8DY	6612	186	209	395	0.0597398669086509	EPN
BS_CZ3NA7KV	4846	120	206	326	0.0672719768881552	EPN
BS_D144EJRQ	10634	375	188	563	0.0529433891292082	MB
BS_D29RPBSZ	3693	80	94	174	0.0471161657189277	HGG
BS_D2K9C7XR	14868	127	55	182	0.012241054613936	CPG
BS_D3YBV7KB	11415	66	65	131	0.0114761279018835	LGG
BS_D5NQV7N5	5863	132	143	275	0.0469043151969981	CPG
BS_DEHJF4C7	12017	78	69	147	0.0122326703836232	LGG
BS_DFGS950G	5427	513	203	716	0.131932927952828	HGG
BS_DFWFBYSN	10887	392	204	596	0.0547441903187288	MB
BS_DHA5FMVW	10049	208	219	427	0.0424917902278834	ATRT
BS_DMZP9G1H	11332	191	218	409	0.0360924814684081	GNG
BS_DPF1CX0G	9541	106	82	188	0.0197044334975369	LGG
BS_DRD9QXR5	12085	109	132	241	0.0199420769549028	CPG
BS_DS438CXE	11855	210	195	405	0.0341628005061156	HGG
BS_DSS3S5XD	11137	52	75	127	0.0114034300080812	LGG
BS_DV86M0Y7	10993	70	77	147	0.0133721459110343	LGG
BS_E054DFJN	9021	323	234	557	0.0617448176477109	CPG
BS_E0N3PTPN	11031	44	49	93	0.00843078596682078	LGG
BS_E1CGF3KV	9646	98	173	271	0.0280945469624715	LGG
BS_E3BAT4C1	11131	246	221	467	0.0419549007276974	MB
BS_E3EJHXQV	7520	84	66	150	0.0199468085106383	LGG
BS_E4F1D721	9578	106	304	410	0.0428064314053038	EPN
BS_E4GC9EXR	11696	30	52	82	0.0070109439124487	GNG
BS_E4QK839R	11203	230	130	360	0.03213424975453	LGG
