sample	cluster_assigned	method
BS_7ZFVVZ2G	11	pam_canberra_13
BS_7ZV3DPGT	9	pam_canberra_13
BS_81SP2HX4	9	pam_canberra_13
BS_83HGE3WV	2	pam_canberra_13
BS_84PYF22K	8	pam_canberra_13
BS_84VZX732	11	pam_canberra_13
BS_84XCR9GG	3	pam_canberra_13
BS_850BAHH9	5	pam_canberra_13
BS_862NMAR7	3	pam_canberra_13
BS_86Q14TZG	5	pam_canberra_13
BS_880ESDFZ	2	pam_canberra_13
BS_886BCX47	8	pam_canberra_13
BS_89ZYNYB9	12	pam_canberra_13
BS_8AA254XK	1	pam_canberra_13
BS_8B2RAF9R	9	pam_canberra_13
BS_8BF616QR	4	pam_canberra_13
BS_8C885SQR	8	pam_canberra_13
BS_8D0NYM46	5	pam_canberra_13
BS_8E8JKP01	13	pam_canberra_13
BS_8ERBDF7D	9	pam_canberra_13
BS_8F9BDWY4	3	pam_canberra_13
BS_8FVF27TH	9	pam_canberra_13
BS_8GBH4QYB	11	pam_canberra_13
BS_8GW1TMV2	6	pam_canberra_13
BS_8H3S44QP	7	pam_canberra_13
BS_8J09S6MZ	5	pam_canberra_13
BS_8J3B6ZB6	3	pam_canberra_13
BS_8JCAE176	2	pam_canberra_13
BS_8K9YVM5G	6	pam_canberra_13
BS_8KV8Z2QV	11	pam_canberra_13
BS_8MN11EC7	9	pam_canberra_13
BS_8NW4A2Q8	11	pam_canberra_13
BS_8PE0ZBXN	2	pam_canberra_13
BS_8PNA0V6R	13	pam_canberra_13
BS_8Q4JWFKK	11	pam_canberra_13
BS_8Q77HZ4R	10	pam_canberra_13
BS_8Q7Z32DD	11	pam_canberra_13
BS_8QJ43WKW	2	pam_canberra_13
BS_8QVFVG0A	7	pam_canberra_13
BS_8RCR7Y4B	3	pam_canberra_13
BS_8RHPJ740	10	pam_canberra_13
BS_8S86CM61	9	pam_canberra_13
BS_8SKZ7BRN	3	pam_canberra_13
BS_8SQARNQW	13	pam_canberra_13
BS_8T7DZV2F	12	pam_canberra_13
BS_8TR7980G	2	pam_canberra_13
BS_8TTMM7FE	9	pam_canberra_13
BS_8VAZSJEN	3	pam_canberra_13
BS_8VQQ4E9M	11	pam_canberra_13
BS_8VYC685V	9	pam_canberra_13
BS_8WPNFT03	12	pam_canberra_13
BS_8YWYN7VH	2	pam_canberra_13
BS_8Z3SCKB5	3	pam_canberra_13
BS_8ZE4Z9G5	7	pam_canberra_13
BS_8ZP3CBQA	10	pam_canberra_13
BS_8ZS9F31R	8	pam_canberra_13
BS_8ZTEXH90	1	pam_canberra_13
BS_8ZY4GST0	4	pam_canberra_13
BS_90B22NGP	1	pam_canberra_13
BS_912NX4Y0	1	pam_canberra_13
BS_9294WMET	6	pam_canberra_13
BS_92HCM7BN	2	pam_canberra_13
BS_92MT680S	12	pam_canberra_13
BS_92VDQ0NE	1	pam_canberra_13
BS_9477AG24	2	pam_canberra_13
BS_94MT16N2	3	pam_canberra_13
BS_96BNRT9G	3	pam_canberra_13
BS_9755PSCS	13	pam_canberra_13
BS_975AWWJE	2	pam_canberra_13
BS_97GBG8T6	11	pam_canberra_13
BS_97M1E2DW	3	pam_canberra_13
BS_996ZS2A4	5	pam_canberra_13
BS_9A1YTHFF	7	pam_canberra_13
BS_9B0A62MT	7	pam_canberra_13
BS_9BJARSX3	5	pam_canberra_13
BS_9CA93S6D	1	pam_canberra_13
BS_9D1XZKJE	10	pam_canberra_13
BS_9DWJCCGH	8	pam_canberra_13
BS_9DZ253JY	11	pam_canberra_13
BS_9E7YVFJM	5	pam_canberra_13
BS_9F09XV62	1	pam_canberra_13
BS_9F45X0PE	6	pam_canberra_13
BS_9FHEFJNP	11	pam_canberra_13
