sample	cluster_assigned	method
BS_46MF83WA	1	hc_pearson_3
BS_470DYRJQ	1	hc_pearson_3
BS_478TN841	1	hc_pearson_3
BS_479S95Q6	1	hc_pearson_3
BS_49852ZBH	1	hc_pearson_3
BS_49CJNZ06	1	hc_pearson_3
BS_49F4RAA4	1	hc_pearson_3
BS_49VCQD19	1	hc_pearson_3
BS_4A45GGSW	1	hc_pearson_3
BS_4B0BAVTX	1	hc_pearson_3
BS_4BGSTBN0	1	hc_pearson_3
BS_4BM3F6XJ	1	hc_pearson_3
BS_4BWB0FA0	1	hc_pearson_3
BS_4C4MZ4NT	1	hc_pearson_3
BS_4C6B11E4	1	hc_pearson_3
BS_4CP4T22V	1	hc_pearson_3
BS_4CXE5XEP	1	hc_pearson_3
BS_4D9DD103	1	hc_pearson_3
BS_4E1G7E3G	1	hc_pearson_3
BS_4EN8D8Y4	1	hc_pearson_3
BS_4FZS7TX4	1	hc_pearson_3
BS_4GNN7J8E	1	hc_pearson_3
BS_4HQ3T2NC	1	hc_pearson_3
BS_4JWBB28H	1	hc_pearson_3
BS_4KNBXM3C	1	hc_pearson_3
BS_4NF35AF6	1	hc_pearson_3
BS_4NWHYH53	1	hc_pearson_3
BS_4PBXY1E3	1	hc_pearson_3
BS_4PH1MBGR	1	hc_pearson_3
BS_4PWDGEB0	1	hc_pearson_3
BS_4Q3NRFBD	1	hc_pearson_3
BS_4QW2S1Q8	1	hc_pearson_3
BS_4RAHHT12	1	hc_pearson_3
BS_4SCWT0FX	1	hc_pearson_3
BS_4SKWCEDV	1	hc_pearson_3
BS_4SM4CG1E	1	hc_pearson_3
BS_4T0HPZDC	1	hc_pearson_3
BS_4TZQY7TT	1	hc_pearson_3
BS_4W1DBAN4	1	hc_pearson_3
BS_4W68NV3M	1	hc_pearson_3
BS_4X5GB9K0	1	hc_pearson_3
BS_4XH092HE	1	hc_pearson_3
BS_4XZH52X8	1	hc_pearson_3
BS_4Y2JAQTS	1	hc_pearson_3
BS_4Y6BCYK5	1	hc_pearson_3
BS_4Z2F4P9N	1	hc_pearson_3
BS_50S6TFFE	1	hc_pearson_3
BS_516X056B	1	hc_pearson_3
BS_51RA1PGE	1	hc_pearson_3
BS_52426AMF	1	hc_pearson_3
BS_52C576HH	1	hc_pearson_3
BS_52DAPP1Y	1	hc_pearson_3
BS_52MPKTJH	1	hc_pearson_3
BS_52TQWRJN	1	hc_pearson_3
BS_534XRSNB	1	hc_pearson_3
BS_53GQKVEX	1	hc_pearson_3
BS_53KFK3G0	1	hc_pearson_3
BS_54H90JW2	1	hc_pearson_3
BS_55JW3HFM	1	hc_pearson_3
