Tumor_Sample_Barcode	experimental_strategy	mutation_count	region_size	tmb
BS_255803B6	WGS	8	35984681	0.22231682420638937
BS_258W38W2	WGS	18	35984681	0.5002128544643761
BS_25EXB29C	WGS	4	35984681	0.11115841210319469
BS_25VZM81R	WGS	65	35984681	1.8063241966769137
BS_269E3N5B	WGS	8	35984681	0.22231682420638937
BS_26K4T1TS	WGS	33	35984681	0.9170568998513562
BS_26YDKGBP	WGS	6	35984681	0.16673761815479202
BS_27MJ4W3N	WGS	13	35984681	0.3612648393353827
BS_28H882Z1	WGS	7	35984681	0.1945272211805907
BS_28HAR2FT	WGS	32	35984681	0.8892672968255575
BS_29DZNQYC	WGS	5	35984681	0.13894801512899335
BS_29MQMSCM	WGS	3	35984681	0.08336880907739601
BS_2A3KXSK1	WGS	17	35984681	0.4724232514385774
BS_2ABKFT99	WGS	34	35984681	0.9448465028771548
BS_2AWCKNB3	WGS	16	35984681	0.44463364841277875
BS_2B2ZREGX	WGS	4	35984681	0.11115841210319469
BS_2CD1XWVP	WGS	26	35984681	0.7225296786707655
BS_2CQ6K2JW	WGS	8	35984681	0.22231682420638937
BS_2D0J8W64	WGS	9	35984681	0.25010642723218807
BS_2E81A3FT	WGS	6	35984681	0.16673761815479202
BS_2ESN6Q0D	WGS	38	35984681	1.0560049149803494
BS_2EVAFHE0	WGS	77	35984681	2.1397994329864978
BS_2F5KDZ93	WGS	13	35984681	0.3612648393353827
BS_2F70R10Z	WGS	10	35984681	0.2778960302579867
BS_2F7B7FGE	WGS	25	35984681	0.6947400756449668
BS_2FPVHEQS	WGS	7	35984681	0.1945272211805907
BS_2HNHCSNB	WGS	14	35984681	0.3890544423611814
BS_2HNT5VE7	WGS	6	35984681	0.16673761815479202
BS_2J4FG4HV	WGS	38	35984681	1.0560049149803494
BS_2JDVY4F7	WGS	11	35984681	0.3056856332837854
BS_2MPNPD28	WGS	23	35984681	0.6391608695933695
BS_2N53HYFM	WGS	3	35984681	0.08336880907739601
BS_2N95EW0G	WGS	24	35984681	0.6669504726191681
BS_2NDRETB2	WGS	26	35984681	0.7225296786707655
BS_2NEBNR18	WGS	4	35984681	0.11115841210319469
BS_2NN6ME5A	WGS	26	35984681	0.7225296786707655
BS_2NPW3A08	WGS	10	35984681	0.2778960302579867
BS_2NQXY528	WGS	36	35984681	1.0004257089287523
BS_2P6MH05V	WGS	19	35984681	0.5280024574901747
BS_2P7MJGM7	WGS	22	35984681	0.6113712665675708
BS_2PVRG3RW	WGS	4	35984681	0.11115841210319469
BS_2R0QBATZ	WGS	21	35984681	0.5835816635417721
BS_2R26GDT2	WGS	3	35984681	0.08336880907739601
BS_2R346AP1	WGS	11	35984681	0.3056856332837854
BS_2RJN5Z4W	WGS	6	35984681	0.16673761815479202
BS_2RX2NF1Q	WGS	56	35984681	1.5562177694447257
BS_2S36FQZR	WGS	6	35984681	0.16673761815479202
BS_2SFR8Z1P	WGS	5	35984681	0.13894801512899335
BS_2SG8JNMB	WGS	16	35984681	0.44463364841277875
BS_2T4EJ6KN	WGS	53	35984681	1.4728489603673296
BS_2TR6439J	WGS	4	35984681	0.11115841210319469
BS_2VB8649B	WGS	17	35984681	0.4724232514385774
BS_2VG0BR8R	WGS	1	35984681	0.027789603025798672
BS_2VHFP7M8	WGS	5	35984681	0.13894801512899335
BS_2VRZV9W9	WGS	6	35984681	0.16673761815479202
BS_2VSN5YC5	WGS	12	35984681	0.33347523630958403
BS_2W200YK5	WGS	9	35984681	0.25010642723218807
BS_2X02HA8W	WGS	1	35984681	0.027789603025798672
BS_2X60Q1ET	WGS	14	35984681	0.3890544423611814
BS_2X9EVKZ0	WGS	9	35984681	0.25010642723218807
BS_2Y7H85D0	WGS	99	35984681	2.7511706995540686
BS_2Z9JQDPV	WGS	8	35984681	0.22231682420638937
BS_30230R49	WGS	1	35984681	0.027789603025798672
BS_30NT6PNA	WGS	4	35984681	0.11115841210319469
BS_30W38X77	WGS	13	35984681	0.3612648393353827
BS_30W58P7B	WGS	14	35984681	0.3890544423611814
BS_3108RS7G	WGS	9	35984681	0.25010642723218807
BS_32HAVF6S	WGS	5	35984681	0.13894801512899335
BS_32JF8TPP	WGS	29	35984681	0.8058984877481614
BS_32VQRFDS	WGS	8	35984681	0.22231682420638937
BS_339JBNAG	WGS	4	35984681	0.11115841210319469
BS_354DTKHE	WGS	4	35984681	0.11115841210319469
BS_3564XTTK	WGS	21	35984681	0.5835816635417721
BS_35DBPYMN	WGS	16	35984681	0.44463364841277875
BS_35Y30N7S	WGS	4	35984681	0.11115841210319469
BS_35YGX2Z6	WGS	3	35984681	0.08336880907739601
BS_36HCZ3KW	WGS	14	35984681	0.3890544423611814
BS_36W8R29P	WGS	12	35984681	0.33347523630958403
BS_376Q9QKG	WGS	9	35984681	0.25010642723218807
BS_37MZFQY4	WGS	6	35984681	0.16673761815479202
BS_37QJV7CR	WGS	3	35984681	0.08336880907739601
BS_38CD519Z	WGS	21	35984681	0.5835816635417721
BS_38SSRZJ1	WGS	11	35984681	0.3056856332837854
BS_397V7CXJ	WGS	28	35984681	0.7781088847223628
BS_39P851A7	WGS	5	35984681	0.13894801512899335
BS_39Q80NT3	WGS	10	35984681	0.2778960302579867
BS_3A0CJMRH	WGS	10	35984681	0.2778960302579867
BS_3A7YMV93	WGS	13	35984681	0.3612648393353827
BS_3A8D4FXB	WGS	194	35984681	5.391182987004942
BS_3AERRZQT	WGS	22	35984681	0.6113712665675708
BS_3AKS23A0	WGS	11	35984681	0.3056856332837854
BS_3AQ7V6ZQ	WGS	9	35984681	0.25010642723218807
BS_3BMGF6GN	WGS	69	35984681	1.9174826087801082
BS_3BW37RT7	WGS	10	35984681	0.2778960302579867
BS_3C4YAMKJ	WGS	5	35984681	0.13894801512899335
BS_3CDQYJ5Q	WGS	54	35984681	1.5006385633931283
BS_3CG2N4PD	WGS	64	35984681	1.778534593651115
BS_3CVTNBQ3	WGS	3	35984681	0.08336880907739601
BS_3DGPSEH2	WGS	253	35984681	7.030769565527064
BS_3DYRAZE7	WGS	3	35984681	0.08336880907739601
BS_3E1HC152	WGS	29	35984681	0.8058984877481614
BS_3E5C1PN1	WGS	24	35984681	0.6669504726191681
BS_3E9Q93XX	WGS	47	35984681	1.3061113422125374
BS_3EK4EGFE	WGS	14	35984681	0.3890544423611814
BS_3GPKDE4K	WGS	26	35984681	0.7225296786707655
BS_3HE9PKX9	WGS	4	35984681	0.11115841210319469
BS_3J4T2YYW	WGS	18	35984681	0.5002128544643761
BS_3JE2T7AR	WGS	13	35984681	0.3612648393353827
BS_3KD309X6	WGS	20	35984681	0.5557920605159734
BS_3KPKZVGX	WGS	54	35984681	1.5006385633931283
BS_3MJT93EX	WGS	9	35984681	0.25010642723218807
BS_3MYQP7P5	WGS	16	35984681	0.44463364841277875
BS_3NX3RBCX	WGS	40	35984681	1.1115841210319468
BS_3P96RT4E	WGS	5	35984681	0.13894801512899335
BS_3PATZ29V	WGS	13	35984681	0.3612648393353827
BS_3PRZ5AVW	WGS	10	35984681	0.2778960302579867
BS_3PSQNM0D	WGS	7	35984681	0.1945272211805907
BS_3PWMTKET	WGS	14	35984681	0.3890544423611814
BS_3PXSZ06A	WGS	41	35984681	1.1393737240577455
BS_3Q5V3KJC	WGS	11	35984681	0.3056856332837854
BS_3QDRWJCF	WGS	4	35984681	0.11115841210319469
BS_3QKV3K04	WGS	5	35984681	0.13894801512899335
BS_3R0KN6Z4	WGS	4	35984681	0.11115841210319469
BS_3RCKRJB1	WGS	27	35984681	0.7503192816965641
BS_3RDWWCZC	WGS	5	35984681	0.13894801512899335
BS_3RGJ4VP1	WGS	8654	35984681	240.4912245852617
BS_3RQVBAXB	WGS	8	35984681	0.22231682420638937
BS_3SE7P41D	WGS	24	35984681	0.6669504726191681
BS_3T98NKC5	WGS	4	35984681	0.11115841210319469
BS_3V7ZNBTG	WGS	48	35984681	1.3339009452383361
BS_3VE9VCSN	WGS	54	35984681	1.5006385633931283
BS_3VKW5988	WGS	15	35984681	0.41684404538698006
BS_3W3Y6DEG	WGS	13	35984681	0.3612648393353827
BS_3WFQ25XJ	WGS	5	35984681	0.13894801512899335
BS_3WQJ4WP6	WGS	15	35984681	0.41684404538698006
BS_3X3951CM	WGS	11	35984681	0.3056856332837854
BS_3XJNGJ8X	WGS	7	35984681	0.1945272211805907
BS_3XW15QAZ	WGS	43	35984681	1.194952930109343
BS_3Y44RJXS	WGS	13	35984681	0.3612648393353827
BS_3Z40EZHD	WGS	19	35984681	0.5280024574901747
BS_3ZASRA3A	WGS	2	35984681	0.055579206051597344
BS_3ZEXZFSP	WGS	1	35984681	0.027789603025798672
BS_3ZMH8578	WGS	31	35984681	0.8614776937997588
BS_3ZSMT9XM	WGS	6	35984681	0.16673761815479202
BS_40FX713C	WGS	29	35984681	0.8058984877481614
BS_40SJZGT2	WGS	9	35984681	0.25010642723218807
BS_41SWNWAG	WGS	3	35984681	0.08336880907739601
BS_41TD9XET	WGS	6	35984681	0.16673761815479202
BS_41TPY745	WGS	7	35984681	0.1945272211805907
BS_41W7YMEF	WGS	3	35984681	0.08336880907739601
BS_420TZWST	WGS	10	35984681	0.2778960302579867
BS_425D2JAB	WGS	25	35984681	0.6947400756449668
BS_429PWYRS	WGS	19	35984681	0.5280024574901747
BS_42A66SH4	WGS	7	35984681	0.1945272211805907
BS_42Y9E1Q8	WGS	5	35984681	0.13894801512899335
BS_43EZNGJ1	WGS	19	35984681	0.5280024574901747
BS_44ANHKWM	WGS	36	35984681	1.0004257089287523
BS_44NW0PQA	WGS	6	35984681	0.16673761815479202
BS_45913DTA	WGS	7	35984681	0.1945272211805907
BS_46TETVWQ	WGS	81	35984681	2.2509578450896925
BS_47454JJ6	WGS	11	35984681	0.3056856332837854
BS_47X3VAM0	WGS	37	35984681	1.0282153119545507
BS_49C8VBC4	WGS	11	35984681	0.3056856332837854
BS_49JD1V3S	WGS	19	35984681	0.5280024574901747
BS_4BB136DY	WGS	31	35984681	0.8614776937997588
BS_4BHFZB8T	WGS	5	35984681	0.13894801512899335
BS_4BMVETAN	WGS	22	35984681	0.6113712665675708
BS_4CT3A9PQ	WGS	20	35984681	0.5557920605159734
BS_4D9SK48F	WGS	45	35984681	1.2505321361609403
BS_4DBC3VF8	WGS	4	35984681	0.11115841210319469
BS_4DQAQFQH	WGS	25	35984681	0.6947400756449668
BS_4DTX295Z	WGS	27	35984681	0.7503192816965641
BS_4DY83R02	WGS	15	35984681	0.41684404538698006
BS_4DYW3T2A	WGS	23	35984681	0.6391608695933695
BS_4EATG0PN	WGS	5	35984681	0.13894801512899335
BS_4EE49Z3P	WGS	28	35984681	0.7781088847223628
BS_4EQ6DJVM	WGS	10	35984681	0.2778960302579867
BS_4FKXNJHW	WGS	22	35984681	0.6113712665675708
BS_4FXPXSR4	WGS	9	35984681	0.25010642723218807
BS_4FYFKKC6	WGS	7	35984681	0.1945272211805907
BS_4G4PK2D4	WGS	10	35984681	0.2778960302579867
BS_4G9Y2VC6	WGS	10	35984681	0.2778960302579867
BS_4GHFYCWZ	WGS	4	35984681	0.11115841210319469
BS_4GK34NM3	WGS	6	35984681	0.16673761815479202
BS_4GKH983E	WGS	39	35984681	1.0837945180061481
BS_4HAAMVR4	WGS	10	35984681	0.2778960302579867
BS_4HRYS7JY	WGS	28	35984681	0.7781088847223628
BS_4J4MVGTR	WGS	13	35984681	0.3612648393353827
BS_4J8JK335	WGS	11	35984681	0.3056856332837854
BS_4JBGB8BK	WGS	13	35984681	0.3612648393353827
BS_4K2G6FZJ	WGS	10	35984681	0.2778960302579867
BS_4KHK5ZVS	WGS	144	35984681	4.001702835715009
BS_4M0ZMCDC	WGS	17	35984681	0.4724232514385774
BS_4MKYYMTP	WGS	9	35984681	0.25010642723218807
BS_4N387B0K	WGS	65	35984681	1.8063241966769137
BS_4N3EXDB0	WGS	11	35984681	0.3056856332837854
BS_4NFFJ9XE	WGS	45	35984681	1.2505321361609403
BS_4NPEMNAD	WGS	30	35984681	0.8336880907739601
BS_4P25NNZD	WGS	8	35984681	0.22231682420638937
BS_4P88KBKA	WGS	13	35984681	0.3612648393353827
BS_4PAE19ZC	WGS	5	35984681	0.13894801512899335
BS_4PM2QG9C	WGS	15	35984681	0.41684404538698006
BS_4QFSH7C4	WGS	120	35984681	3.3347523630958404
BS_4QMRRWCX	WGS	13	35984681	0.3612648393353827
BS_4RS1SC48	WGS	15	35984681	0.41684404538698006
BS_4RX1AAVV	WGS	3	35984681	0.08336880907739601
BS_4SEM9YES	WGS	7	35984681	0.1945272211805907
BS_4T8J7JEP	WGS	20	35984681	0.5557920605159734
BS_4T994QT4	WGS	20	35984681	0.5557920605159734
BS_4V3KDNZP	WGS	9	35984681	0.25010642723218807
BS_4VKRBRJC	WGS	54	35984681	1.5006385633931283
BS_4WSW3X49	WGS	22	35984681	0.6113712665675708
BS_4XMJCADX	WGS	7	35984681	0.1945272211805907
BS_4XPPZTGG	WGS	8	35984681	0.22231682420638937
BS_4XZCCYVV	WGS	7	35984681	0.1945272211805907
BS_4Y10FCTC	WGS	27	35984681	0.7503192816965641
BS_4YE9CKC6	WGS	18	35984681	0.5002128544643761
BS_4YJF0KE7	WGS	30	35984681	0.8336880907739601
BS_4Z6F1HJZ	WGS	6	35984681	0.16673761815479202
BS_4Z7D418D	WGS	21	35984681	0.5835816635417721
BS_4ZE1R1FW	WGS	8	35984681	0.22231682420638937
BS_4ZG27R47	WGS	71	35984681	1.9730618148317056
BS_4ZKN0WGS	WGS	17	35984681	0.4724232514385774
BS_50ANNQ18	WGS	8	35984681	0.22231682420638937
BS_50XV7CTQ	WGS	2	35984681	0.055579206051597344
BS_50Y94QQR	WGS	51	35984681	1.4172697543157322
BS_52VS6HDC	WGS	14	35984681	0.3890544423611814
BS_52XA6Y6H	WGS	4	35984681	0.11115841210319469
BS_5357BVCQ	WGS	87	35984681	2.4176954632444843
BS_537YFJ06	WGS	49	35984681	1.3616905482641348
BS_53BCKC4V	WGS	31	35984681	0.8614776937997588
BS_53RGQ4AK	WGS	4	35984681	0.11115841210319469
BS_53TV75NN	WGS	17	35984681	0.4724232514385774
BS_544KFC5J	WGS	25	35984681	0.6947400756449668
BS_55AHFCX4	WGS	16	35984681	0.44463364841277875
