Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ZNF516	-2.375479531527692	11.051633645065499	-18.366941432222283	9.59972323712146e-68	1.9445700244238644e-65	143.3825643679139
DSCR8	1.6044743280655271	5.58075199531028	18.326781153257038	1.7439059246399318e-67	3.3853573762072675e-65	142.78911094032355
GABRR3	1.506905460713515	5.704732236367793	18.323580893405946	1.82880838259009e-67	3.408167301794892e-65	142.7418546496507
AIPL1	2.6836663455001775	5.909591966377819	17.994072900416842	2.3766905931714398e-65	4.258846720609899e-63	137.90360346707325
LINC02010	1.6917446169109032	5.684082167716325	17.980540631456257	2.899180065826913e-65	5.002696269143551e-63	137.70607572411396
PRL	3.479529187069584	6.332981905975901	17.905670213250325	8.690265646179236e-65	1.4459981301981807e-62	136.61489344202465
ILF2	1.2719899915274915	12.542941458554136	17.787150289518216	4.9113034782174765e-64	7.890263070694905e-62	134.89341908820808
SNRPD1	1.2504903218759569	10.957010969942496	17.694488675214366	1.892641105059453e-63	2.9392716361573306e-61	133.5525759653304
ENSG00000257870	0.5108130645701711	5.36329685430021	17.638197137698235	4.2858728873029105e-63	6.441252187723954e-61	132.7401955555677
HNRNPH3	1.340982439699792	12.556557316155446	17.622161130065322	5.407921162098825e-63	7.873595216943258e-61	132.5090715540869
EBF3	3.822165551307297	7.560877616183204	17.527221828243636	2.1366877585417264e-62	3.0166146263775467e-60	131.1434856815478
CDK6-AS1	1.723240599574885	6.176564669120214	17.39922838760772	1.3519102555006248e-61	1.8525146706992384e-59	129.30996561609624
LINC02032	1.1461807809368512	5.77441887477667	17.269746206872973	8.662401673989923e-61	1.1530894114034016e-58	127.4639678048415
CRX	2.5881720168554727	5.976889116356724	16.85777567698853	3.0074210374977837e-58	3.8921040593617146e-56	121.65075828503322
CETN3	1.6154488432628933	9.640977311329967	16.825539232652293	4.734725665777869e-58	5.961915372124079e-56	121.19979283141512
SYT4	4.348411710712479	9.1581005839262	16.714982826777707	2.235456801213801e-57	2.7407876939092366e-55	119.6575574884886
TNNI1	1.5795433831647334	5.901146790796241	16.69569454200672	2.928646088209169e-57	3.4986056730683375e-55	119.38918674083692
GGNBP1	0.6172493830615143	5.45938301054071	16.66492754858775	4.503897025125469e-57	5.24591406001489e-55	118.96153477298625
PDC	1.5371664609087947	5.561915638481337	16.604589340055583	1.0459250429358107e-56	1.1885279939116933e-54	118.12438947490341
PHF5A	0.9768225431177981	9.77720439154476	16.45584465904691	8.27467692306285e-56	9.178980901083291e-54	116.06942116446595
PPP1R8	0.761975404324908	11.277645558881122	16.33480295496977	4.412633531735653e-55	4.781037121943351e-53	114.4064351053471
PPIH	1.0252540448577536	9.700304567060924	16.322422277952274	5.234185362471142e-55	5.542288546307511e-53	114.23680871940297
PRKRA	0.7732426193108493	11.004204567978714	16.317909878488276	5.570133938050818e-55	5.7669453371952805e-53	114.17500660622014
GNGT1	1.4902328869604204	5.5430006087808925	16.26152480494918	1.2106731395172868e-54	1.2262013384806606e-52	113.40373702576167
SLC6A3	3.2610283157898823	6.569923322393225	16.24199338813733	1.5835543130063788e-54	1.56974032857377e-52	113.1370000293567
ZNHIT3	0.9184106493976003	10.121656155489008	16.188899826898854	3.2819365399253245e-54	3.1811346704131214e-52	112.41302116419467
HELZ2	-2.399338393076867	10.181556327696505	-16.18749660166111	3.345687891183579e-54	3.1811346704131214e-52	112.39390896980854
SNRPB2	1.261241793934685	10.661410599081167	16.011904507984493	3.6822582012693482e-53	3.431128191942779e-51	110.01132068495443
HEPACAM	-3.817954271827768	11.766797871713324	-15.973000378002268	6.249489667488857e-53	5.709092619770704e-51	109.48586583716155
COMMD3	1.1995678568238215	10.353039572392172	15.970510201290615	6.464516892458928e-53	5.791958500378104e-51	109.45226267695364
CCT7	0.9117720302615305	12.958017048475307	15.940657571070945	9.694775746257704e-53	8.522256641851819e-51	109.04970573866274
ACP1	1.0873221877672754	11.127714350511715	15.86940378270802	2.545136376068197e-52	2.1958871066855054e-50	108.09097887297881
ACTL6B	2.816668191889511	7.886734474867983	15.858337075927837	2.9559584508978634e-52	2.5039655314060265e-50	107.94234355000879
CYP4F11	-2.202200583704443	8.068581567723289	-15.819563755680877	4.990460731468541e-52	4.1518850978414165e-50	107.42215543602856
KCNH6	2.3204428709920633	6.358074781069456	15.8146686598244	5.331232935697941e-52	4.3575814469152115e-50	107.35654537010637
