gene	CTRL1	CTRL2	CTRL3	Treated1	Treated2	Treated3
ENSG00000007080.11_CCDC124	939.00	1064.00	1118.00	750.00	967.00	1049.00
ENSG00000007129.18_CEACAM21	0.00	3.00	0.00	0.00	0.00	0.00
ENSG00000007168.14_PAFAH1B1	17399.00	19088.00	20726.00	14548.00	15693.00	16313.00
ENSG00000007171.18_NOS2	33.00	45.00	34.00	17.00	24.00	18.00
ENSG00000007174.18_DNAH9	71.00	66.00	71.00	42.00	54.00	80.00
ENSG00000007202.15_KIAA0100	46669.00	51193.00	56780.00	37844.00	41588.00	43284.00
ENSG00000007216.16_SLC13A2	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000007237.19_GAS7	4.00	0.00	2.00	1.00	0.00	2.00
ENSG00000007255.10_TRAPPC6A	21.00	31.00	49.00	46.00	31.00	48.00
ENSG00000007264.15_MATK	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000007306.15_CEACAM7	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000007312.13_CD79B	0.00	0.00	2.00	0.00	0.00	0.00
ENSG00000007314.12_SCN4A	1.00	1.00	0.00	0.00	0.00	9.00
ENSG00000007341.19_ST7L	1662.00	1676.00	1760.00	1496.00	1514.00	1576.00
ENSG00000007350.17_TKTL1	13.00	15.00	19.00	4.00	16.00	13.00
ENSG00000007372.25_PAX6	10699.00	12248.00	13096.00	5882.00	6553.00	6200.00
ENSG00000007376.8_RPUSD1	2281.00	2783.00	2883.00	1870.00	1918.00	1930.00
ENSG00000007384.15_RHBDF1	492.00	481.00	594.00	277.00	310.00	341.00
ENSG00000007392.17_LUC7L	2792.00	2927.00	3064.00	3182.00	3515.00	3554.00
ENSG00000007402.12_CACNA2D2	10.00	11.00	23.00	3.00	5.00	10.00
ENSG00000007516.14_BAIAP3	2330.00	2701.00	2803.00	1177.00	1494.00	1550.00
ENSG00000007520.4_TSR3	366.00	458.00	516.00	303.00	391.00	483.00
ENSG00000007541.17_PIGQ	4894.36	5903.61	5889.38	3855.00	4286.30	4632.00
ENSG00000007545.16_CRAMP1	4047.35	4326.14	4762.26	3775.76	4030.78	4033.86
ENSG00000007866.22_TEAD3	1509.00	1595.00	1947.00	830.00	1021.00	981.00
ENSG00000007908.16_SELE	10.00	12.00	11.00	10.00	29.00	21.00
ENSG00000007923.17_DNAJC11	3388.00	3611.00	4176.00	3031.00	3200.00	3306.00
ENSG00000007933.13_FMO3	22.00	41.00	33.00	5.00	12.00	8.00
ENSG00000007944.15_MYLIP	1792.00	1964.00	2035.00	1881.00	1978.00	2198.00
ENSG00000007952.18_NOX1	4.00	0.00	1.00	0.00	0.00	1.00
ENSG00000007968.7_E2F2	2552.00	3085.00	3279.00	1749.00	2204.00	2026.00
ENSG00000008018.9_PSMB1	4369.00	4843.00	5533.00	3683.00	3808.00	4429.00
ENSG00000008056.14_SYN1	459.27	540.00	518.00	336.00	291.39	341.00
ENSG00000008083.14_JARID2	3511.00	3542.00	3819.00	2516.00	2702.00	3165.00
ENSG00000008086.13_CDKL5	7032.00	6748.00	7280.00	5956.00	5970.00	6201.00
ENSG00000008118.10_CAMK1G	3.00	5.00	4.00	29.00	17.00	7.00
ENSG00000008128.23_CDK11A	422.85	490.39	649.63	490.65	605.22	640.28
ENSG00000008130.15_NADK	2260.00	2492.00	2978.00	1536.00	1779.00	1898.00
ENSG00000008196.13_TFAP2B	18.00	27.00	54.00	20.00	22.00	11.00
ENSG00000008197.5_TFAP2D	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000008226.20_DLEC1	21.00	14.00	26.00	15.00	5.00	5.00
ENSG00000008256.16_CYTH3	8950.00	10356.00	11012.00	7554.00	8366.00	8749.00
ENSG00000008277.15_ADAM22	6114.00	6757.00	6649.00	3791.00	4219.00	4366.00
ENSG00000008282.9_SYPL1	15783.00	18273.00	19868.00	14542.00	15835.00	17913.00
ENSG00000008283.16_CYB561	3894.00	4310.00	4883.00	2920.00	3210.00	3676.00
ENSG00000008294.22_SPAG9	15960.00	17873.00	18883.00	13628.00	14351.00	15617.00
ENSG00000008300.17_CELSR3	4589.00	4891.00	4783.00	5590.00	5924.00	5891.00
ENSG00000008311.16_AASS	19817.00	21517.00	22743.00	13812.00	15601.00	16568.00
ENSG00000008323.16_PLEKHG6	5.00	4.00	4.00	1.00	3.00	2.00
ENSG00000008324.12_SS18L2	789.00	858.00	998.00	516.00	540.00	533.00
ENSG00000008382.16_MPND	502.00	626.00	673.00	309.00	320.00	360.00
ENSG00000008394.13_MGST1	8570.00	10666.00	10326.00	5750.00	6385.00	7344.00
ENSG00000008405.12_CRY1	3100.00	3482.00	3735.00	2472.00	2591.00	2981.00
ENSG00000008438.5_PGLYRP1	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000008441.19_NFIX	98714.00	113231.00	116994.00	79875.00	91344.00	89349.00
ENSG00000008513.16_ST3GAL1	3266.00	3692.00	3975.00	3045.00	3292.00	3600.00
ENSG00000008516.18_MMP25	23.00	16.00	33.00	42.00	50.00	43.00
ENSG00000008517.19_IL32	215.00	146.00	279.00	107.00	144.00	131.00
ENSG00000008710.20_PKD1	11709.90	11579.65	12739.35	12164.93	12296.27	12188.28
