gene	plot_type	plot_subtype
PARVB	Oncogene	Other Oncogene
PASK	Other	Kinase
PATJ	Oncogene	Other Oncogene
PATZ1	Oncogene	Transcription Factor
PAWR	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
PAX1	Other	Transcription Factor
PAX2	Oncogene	Transcription Factor
PAX3	Oncogene	Transcription Factor
PAX4	Tumor Suppressor	Transcription Factor
PAX5	Oncogene or Tumor Suppressor	Transcription Factor
PAX6	Oncogene or Tumor Suppressor	Transcription Factor
PAX7	Oncogene	Transcription Factor
PAX8	Oncogene	Transcription Factor
PAX9	Oncogene	Transcription Factor
PBK	Other	Kinase
PBRM1	Oncogene or Tumor Suppressor	Epigenetic
PBX1	Oncogene	Transcription Factor
PBX2	Oncogene	Transcription Factor
PBX2P1	Oncogene	Transcription Factor
PBX3	Oncogene	Transcription Factor
PBX4	Other	Transcription Factor
PCDH10	Tumor Suppressor	Other Tumor Suppressor
PCDH17	Tumor Suppressor	Other Tumor Suppressor
PCDH8	Tumor Suppressor	Other Tumor Suppressor
PCDH9	Tumor Suppressor	Other Tumor Suppressor
PCDHB15	Oncogene	Other Oncogene
PCDHB7	Oncogene	Other Oncogene
PCDHGC3	Tumor Suppressor	Other Tumor Suppressor
PCED1B	Oncogene	Other Oncogene
PCGF2	Tumor Suppressor	Epigenetic
PCGF6	Other	Epigenetic
PCM1	Oncogene	Other Oncogene
PCNA	Oncogene	Epigenetic
PCSK7	Oncogene	Other Oncogene
PCTAIRE1	Other	Kinase
PCTAIRE2	Other	Kinase
PCTAIRE3	Other	Kinase
PDCD1LG2	Oncogene	Other Oncogene
PDCD4	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
PDCD5	Tumor Suppressor	Other Tumor Suppressor
PDCD6	Oncogene	Other Oncogene
PDE11A	Oncogene	Other Oncogene
PDE4A	Oncogene	Other Oncogene
PDE4D	Oncogene	Other Oncogene
PDE4DIP	Oncogene	Other Oncogene
PDGFA	Oncogene	Other Oncogene
PDGFB	Oncogene	Other Oncogene
PDGFRA	Oncogene	Kinase
PDGFRB	Oncogene	Kinase
PDGFRL	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
PDGFRa	Other	Kinase
PDGFRb	Other	Kinase
PDHK1	Other	Kinase
PDHK2	Other	Kinase
PDHK3	Other	Kinase
PDHK4	Other	Kinase
PDIK1L	Other	Kinase
PDK1	Other	Kinase
PDLIM4	Tumor Suppressor	Other Tumor Suppressor
PDPK1	Other	Kinase
PDS5B	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
PDSS2	Tumor Suppressor	Other Tumor Suppressor
PDX1	Oncogene or Tumor Suppressor	Transcription Factor
PDXK	Oncogene	Other Oncogene
PEA15	Tumor Suppressor	Other Tumor Suppressor
PEAK1	Other	Kinase
PEAR1	Oncogene	Other Oncogene
PEBP1	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
PECAM1	Oncogene	Other Oncogene
PEG10	Oncogene	Other Oncogene
PEG3	Oncogene or Tumor Suppressor	Transcription Factor
PEK	Other	Kinase
PER1	Oncogene	Other Oncogene
PER2	Tumor Suppressor	Other Tumor Suppressor
PF4	Tumor Suppressor	Other Tumor Suppressor
PFN1	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
PFTAIRE1	Other	Kinase
PFTAIRE2	Other	Kinase
PGF	Oncogene	Other Oncogene
PGGHG	Oncogene	Other Oncogene
PGR	Tumor Suppressor	Transcription Factor
PGRMC2	Tumor Suppressor	Other Tumor Suppressor
PHACTR4	Tumor Suppressor	Other Tumor Suppressor
PHB	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
PHB1	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
PHC3	Tumor Suppressor	Epigenetic
PHF1	Other	Epigenetic
PHF19	Other	Epigenetic
PHF20	Oncogene	Epigenetic
PHF21A	Other	Epigenetic
PHF6	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
PHIP	Oncogene or Tumor Suppressor	Epigenetic
PHIP	Oncogene	Epigenetic
PHKG1	Other	Kinase
PHKG2	Other	Kinase
PHKg1	Other	Kinase
PHKg1ps1	Other	Kinase
PHKg1ps2	Other	Kinase
PHKg1ps3	Other	Kinase
PHKg2	Other	Kinase
PHLDA2	Tumor Suppressor	Other Tumor Suppressor
PHLDA3	Tumor Suppressor	Other Tumor Suppressor
PHLPP1	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
PHLPP2	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
PHOX2A	Tumor Suppressor	Transcription Factor
PHOX2B	Oncogene	Transcription Factor
PI4K2B	Other	Kinase
PI4KA	Other	Kinase
PI4KB	Other	Kinase
PIAS1	Tumor Suppressor	Other Tumor Suppressor
PIAS3	Oncogene	Other Oncogene
PICALM	Oncogene	Other Oncogene
PICK1	Oncogene	Other Oncogene
PIGR	Oncogene	Other Oncogene
PIK3C2A	Other	Kinase
PIK3C2B	Other	Kinase
PIK3C2G	Other	Kinase
PIK3C3	Other	Kinase
PIK3CA	Oncogene	Kinase
PIK3CB	Other	Kinase
PIK3CD	Oncogene	Kinase
PIK3CG	Other	Kinase
PIK3R1	Oncogene	Other Oncogene
PIK3R2	Oncogene	Other Oncogene
PIK3R4	Other	Kinase
PIK3R5	Oncogene	Other Oncogene
PIM1	Oncogene	Kinase
PIM2	Oncogene	Kinase
PIM3	Oncogene	Kinase
PIN1	Tumor Suppressor	Transcription Factor
PINK1	Other	Kinase
PINX1	Tumor Suppressor	Other Tumor Suppressor
PITSLRE	Other	Kinase
PITX1	Oncogene	Transcription Factor
PITX2	Other	Transcription Factor
PITX3	Other	Transcription Factor
PIWIL2	Tumor Suppressor	Other Tumor Suppressor
PKACa	Other	Kinase
PKACb	Other	Kinase
PKACg	Other	Kinase
PKCa	Other	Kinase
PKCb	Other	Kinase
PKCd	Other	Kinase
PKCe	Other	Kinase
PKCg	Other	Kinase
PKCh	Other	Kinase
PKCi	Other	Kinase
PKCips	Other	Kinase
PKCt	Other	Kinase
PKCz	Other	Kinase
PKD1	Tumor Suppressor	Kinase
PKD2	Other	Kinase
PKD3	Other	Kinase
PKDREJ	Oncogene	Other Oncogene
PKG1	Other	Kinase
PKG2	Other	Kinase
PKHD1	Oncogene	Other Oncogene
PKIG	Oncogene	Other Oncogene
PKM	Oncogene	Epigenetic
PKMYT1	Other	Kinase
PKN1	Other	Kinase
PKN2	Other	Kinase
PKN3	Other	Kinase
PKNOX1	Oncogene or Tumor Suppressor	Transcription Factor
PKNOX2	Other	Transcription Factor
PKR	Other	Kinase
PLA2G16	Tumor Suppressor	Other Tumor Suppressor
PLA2G2A	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
PLA2G4A	Oncogene	Other Oncogene
PLA2G7	Tumor Suppressor	Other Tumor Suppressor
PLA2R1	Tumor Suppressor	Other Tumor Suppressor
PLAAT2	Tumor Suppressor	Other Tumor Suppressor
PLAAT3	Tumor Suppressor	Other Tumor Suppressor
PLAAT4	Tumor Suppressor	Other Tumor Suppressor
PLAG1	Oncogene	Transcription Factor
PLAGL1	Oncogene or Tumor Suppressor	Transcription Factor
PLAGL2	Oncogene	Transcription Factor
PLAUR	Oncogene	Other Oncogene
PLCB1	Oncogene	Other Oncogene
PLCB2	Oncogene	Other Oncogene
PLCB3	Tumor Suppressor	Other Tumor Suppressor
PLCD1	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
PLCE1	Tumor Suppressor	Other Tumor Suppressor
PLCH2	Oncogene	Other Oncogene
PLCL1	Oncogene	Other Oncogene
PLD1	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
PLEK2	Oncogene	Other Oncogene
PLEKHA2	Oncogene	Other Oncogene
PLEKHA8	Oncogene	Other Oncogene
PLEKHB1	Oncogene	Other Oncogene
PLEKHG2	Oncogene	Other Oncogene
PLEKHO1	Tumor Suppressor	Other Tumor Suppressor
PLK1	Oncogene or Tumor Suppressor	Kinase
PLK1ps1	Other	Kinase
PLK1ps2	Other	Kinase
PLK2	Tumor Suppressor	Kinase
PLK3	Other	Kinase
PLK4	Other	Kinase
PLK5	Tumor Suppressor	Other Tumor Suppressor
PLPP3	Oncogene	Other Oncogene
PLSCR1	Other	Transcription Factor
PLXNB1	Oncogene	Other Oncogene
PLXNC1	Tumor Suppressor	Other Tumor Suppressor
PMEL	Oncogene	Other Oncogene
PMEPA1	Oncogene	Other Oncogene
PML	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
PMS1	Oncogene	Other Oncogene
PMS2	Oncogene	Other Oncogene
PMVK	Other	Kinase
PNCK	Other	Kinase
PNMA1	Oncogene	Other Oncogene
PNN	Tumor Suppressor	Other Tumor Suppressor
POGK	Other	Transcription Factor
POLH	Oncogene	Other Oncogene
POMK	Other	Kinase
POU1F1	Other	Transcription Factor
POU2AF1	Oncogene	Transcription Factor
POU2F1	Other	Transcription Factor
POU2F2	Oncogene	Transcription Factor
POU2F3	Tumor Suppressor	Transcription Factor
POU3F1	Other	Transcription Factor
POU3F2	Other	Transcription Factor
POU3F3	Other	Transcription Factor
POU3F4	Other	Transcription Factor
POU4F1	Oncogene	Transcription Factor
POU4F2	Other	Transcription Factor
POU4F3	Other	Transcription Factor
POU5F1	Oncogene	Transcription Factor
POU5F1B	Other	Transcription Factor
POU5F2	Other	Transcription Factor
POU6F1	Other	Transcription Factor
POU6F2	Oncogene or Tumor Suppressor	Transcription Factor
PPARA	Tumor Suppressor	Transcription Factor
PPARD	Oncogene	Transcription Factor
PPARG	Oncogene or Tumor Suppressor	Transcription Factor
PPFIBP1	Oncogene	Other Oncogene
PPM1A	Tumor Suppressor	Other Tumor Suppressor
PPM1D	Oncogene	Other Oncogene
PPM1E	Oncogene	Other Oncogene
PPM1L	Tumor Suppressor	Other Tumor Suppressor
PPP1CA	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
PPP1CC	Oncogene	Other Oncogene
PPP1R13L	Oncogene	Other Oncogene
PPP1R14B	Oncogene	Other Oncogene
PPP1R16B	Oncogene	Other Oncogene
PPP1R1A	Oncogene	Other Oncogene
PPP1R1B	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
PPP2CA	Tumor Suppressor	Epigenetic
PPP2CB	Tumor Suppressor	Other Tumor Suppressor
PPP2R1A	Oncogene	Other Oncogene
PPP2R1B	Tumor Suppressor	Other Tumor Suppressor
PPP2R2C	Tumor Suppressor	Other Tumor Suppressor
PPP2R4	Tumor Suppressor	Other Tumor Suppressor
PPP2R5C	Tumor Suppressor	Other Tumor Suppressor
PPP3CC	Tumor Suppressor	Other Tumor Suppressor
PPTC7	Oncogene	Other Oncogene
PRAG1	Other	Kinase
PRCC	Oncogene	Other Oncogene
PRDM1	Oncogene or Tumor Suppressor	Epigenetic
PRDM10	Other	Transcription Factor
PRDM11	Tumor Suppressor	Epigenetic
PRDM12	Other	Epigenetic
PRDM13	Other	Epigenetic
PRDM14	Other	Epigenetic
PRDM15	Other	Transcription Factor
PRDM16	Oncogene	Epigenetic
PRDM2	Oncogene or Tumor Suppressor	Epigenetic
PRDM4	Tumor Suppressor	Epigenetic
PRDM5	Tumor Suppressor	Epigenetic
PRDM6	Other	Epigenetic
PRDM8	Other	Epigenetic
PRDM9	Other	Epigenetic
PRDX1	Oncogene	Other Oncogene
PREB	Other	Transcription Factor
PREX1	Oncogene	Other Oncogene
PRF1	Oncogene	Other Oncogene
PRG4	Oncogene	Other Oncogene
PRICKLE1	Tumor Suppressor	Other Tumor Suppressor
PRKAA1	Tumor Suppressor	Kinase
PRKAA2	Tumor Suppressor	Kinase
PRKAB1	Oncogene	Epigenetic
PRKACA	Other	Kinase
PRKACB	Other	Kinase
PRKACG	Other	Kinase
PRKAR1A	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
PRKCA	Other	Kinase
PRKCB	Tumor Suppressor	Kinase
PRKCD	Oncogene or Tumor Suppressor	Kinase
PRKCDBP	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
PRKCE	Tumor Suppressor	Kinase
PRKCG	Other	Kinase
PRKCH	Other	Kinase
PRKCI	Other	Kinase
PRKCQ	Other	Kinase
PRKCSH	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
PRKCZ	Other	Kinase
PRKD1	Oncogene	Kinase
PRKD2	Other	Kinase
PRKD3	Other	Kinase
PRKDC	Other	Kinase
PRKG1	Other	Kinase
PRKG2	Other	Kinase
PRKN	Tumor Suppressor	Other Tumor Suppressor
PRKX	Other	Kinase
PRKXps	Other	Kinase
PRKY	Other	Kinase
PRLR	Oncogene	Other Oncogene
PRMT3	Other	Transcription Factor
PRODH	Tumor Suppressor	Other Tumor Suppressor
PROP1	Other	Transcription Factor
PROS1	Oncogene	Other Oncogene
PROX1	Tumor Suppressor	Transcription Factor
PROX2	Other	Transcription Factor
PRP4	Other	Kinase
PRP4ps	Other	Kinase
PRPF4B	Oncogene	Kinase
PRPK	Other	Kinase
PRPS1	Oncogene	Other Oncogene
PRR12	Other	Transcription Factor
PRR5	Tumor Suppressor	Other Tumor Suppressor
PRRX1	Oncogene	Transcription Factor
PRRX2	Oncogene	Transcription Factor
PSAP	Oncogene	Other Oncogene
PSCA	Oncogene	Other Oncogene
PSEN2	Oncogene	Other Oncogene
PSIP1	Oncogene	Epigenetic
PSKH1	Other	Kinase
PSKH1ps	Other	Kinase
PSKH2	Other	Kinase
PSMA5	Oncogene	Other Oncogene
PSMD2	Oncogene	Other Oncogene
PTBP1	Oncogene	RNA Binding Protein
PTCH1	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
PTCH2	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
PTCRA	Oncogene	Other Oncogene
PTCSC3	Tumor Suppressor	Other Tumor Suppressor
PTEN	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
PTENP1	Tumor Suppressor	Other Tumor Suppressor
PTF1A	Other	Transcription Factor
PTGDR	Tumor Suppressor	Other Tumor Suppressor
PTGIS	Oncogene	Other Oncogene
PTGR2	Oncogene	Other Oncogene
PTGS2	Oncogene	Other Oncogene
PTH	Oncogene	Other Oncogene
PTHLH	Oncogene	Other Oncogene
PTK2	Other	Kinase
PTK2B	Other	Kinase
PTK6	Other	Kinase
PTK7	Oncogene	Kinase
PTMA	Oncogene	Other Oncogene
PTN	Oncogene	Other Oncogene
PTP4A3	Oncogene	Other Oncogene
PTPA	Tumor Suppressor	Other Tumor Suppressor
PTPA	Oncogene	Other Oncogene
PTPN1	Tumor Suppressor	Other Tumor Suppressor
PTPN11	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
PTPN12	Tumor Suppressor	Other Tumor Suppressor
PTPN13	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
PTPN14	Oncogene	Other Oncogene
PTPN2	Tumor Suppressor	Other Tumor Suppressor
PTPN21	Oncogene	Other Oncogene
PTPN23	Tumor Suppressor	Other Tumor Suppressor
PTPN6	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
PTPN7	Oncogene	Other Oncogene
PTPRA	Oncogene	Other Oncogene
PTPRC	Tumor Suppressor	Other Tumor Suppressor
PTPRD	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
PTPRE	Oncogene	Other Oncogene
PTPRG	Oncogene	Other Oncogene
PTPRH	Oncogene	Other Oncogene
PTPRJ	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
PTPRK	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
PTPRT	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
PTPRU	Oncogene	Other Oncogene
PTTG1	Oncogene	Other Oncogene
PTTG1IP	Oncogene	Other Oncogene
PURA	Other	Transcription Factor
PURB	Other	Transcription Factor
PURG	Other	Transcription Factor
PUS10	Oncogene	Other Oncogene
PVT1	Oncogene	Other Oncogene
PWAR4	Tumor Suppressor	Other Tumor Suppressor
PXN	Oncogene	Other Oncogene
PYCARD	Tumor Suppressor	Other Tumor Suppressor
PYHIN1	Tumor Suppressor	Other Tumor Suppressor
PYK2	Other	Kinase
PYY	Oncogene	Other Oncogene
QIK	Other	Kinase
QKI	Tumor Suppressor	RNA Binding Protein
QSK	Other	Kinase
RAB1A	Oncogene	Other Oncogene
RAB25	Tumor Suppressor	Other Tumor Suppressor
RAB5C	Oncogene	Other Oncogene
RAB7A	Tumor Suppressor	Other Tumor Suppressor
RAB8A	Oncogene	Other Oncogene
RABEP1	Oncogene	Other Oncogene
RABGAP1L	Oncogene	Other Oncogene
RABGGTB	Oncogene	Other Oncogene
RAC2	Oncogene	Other Oncogene
RAC3	Oncogene	Other Oncogene
RACK1	Tumor Suppressor	Other Tumor Suppressor
RACK1	Oncogene	Other Oncogene
RAD23A	Oncogene	Other Oncogene
RAD23B	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
RAD51B	Oncogene	Other Oncogene
RAD51C	Tumor Suppressor	Other Tumor Suppressor
RAD51D	Oncogene	Other Oncogene
RAD52	Oncogene	Other Oncogene
RAD9A	Oncogene	Other Oncogene
RAF1	Oncogene	Kinase
RAF1ps	Other	Kinase
RAG1	Other	Epigenetic
RALA	Oncogene	Other Oncogene
RALB	Oncogene	Other Oncogene
RALGDS	Oncogene	Other Oncogene
RALGPS2	Oncogene	Other Oncogene
RAMP1	Oncogene	Other Oncogene
RAN	Oncogene	Other Oncogene
RANBP17	Oncogene	Other Oncogene
RANBP2	Oncogene	Other Oncogene
RANBP9	Tumor Suppressor	Other Tumor Suppressor
RAP1A	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
RAP1B	Oncogene	Other Oncogene
RAP1GAP	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
RAP1GDS1	Oncogene	Other Oncogene
RAP2A	Oncogene	Other Oncogene
RAP2B	Oncogene	Other Oncogene
RAPGEF1	Oncogene	Other Oncogene
RAPH1	Oncogene	Other Oncogene
RARA	Oncogene	Epigenetic
RARB	Oncogene or Tumor Suppressor	Transcription Factor
RARG	Oncogene	Transcription Factor
RARRES1	Oncogene	Other Oncogene
RARRES3	Tumor Suppressor	Other Tumor Suppressor
RASA1	Oncogene	Other Oncogene
RASA3	Oncogene	Other Oncogene
RASAL1	Tumor Suppressor	Other Tumor Suppressor
RASAL2	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
RASGRF1	Oncogene	Other Oncogene
RASGRF2	Oncogene	Other Oncogene
RASGRP1	Oncogene	Other Oncogene
RASGRP2	Oncogene	Other Oncogene
RASL10A	Tumor Suppressor	Other Tumor Suppressor
RASL10B	Tumor Suppressor	Other Tumor Suppressor
RASL11A	Tumor Suppressor	Other Tumor Suppressor
RASL11B	Oncogene	Other Oncogene
RASSF1	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
RASSF10	Tumor Suppressor	Other Tumor Suppressor
RASSF2	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
RASSF3	Tumor Suppressor	Other Tumor Suppressor
RASSF4	Tumor Suppressor	Other Tumor Suppressor
RASSF5	Tumor Suppressor	Other Tumor Suppressor
RASSF6	Oncogene	Other Oncogene
RASSF8	Tumor Suppressor	Other Tumor Suppressor
RAX	Other	Transcription Factor
RAX2	Other	Transcription Factor
RB1	Oncogene or Tumor Suppressor	Epigenetic
RB1CC1	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
RBAK	Other	Transcription Factor
RBBP5	Oncogene	Epigenetic
RBBP6	Oncogene	Other Oncogene
RBBP7	Oncogene or Tumor Suppressor	Epigenetic
RBBP8	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
RBCK1	Other	Transcription Factor
RBL1	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
RBL2	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
RBM14	Tumor Suppressor	RNA Binding Protein
RBM15	Oncogene	RNA Binding Protein
RBM34	Oncogene	RNA Binding Protein
RBM38	Tumor Suppressor	RNA Binding Protein
RBM39	Oncogene	RNA Binding Protein
RBM4	Tumor Suppressor	RNA Binding Protein
RBM5	Oncogene or Tumor Suppressor	RNA Binding Protein
RBM6	Tumor Suppressor	RNA Binding Protein
RBMS3	Tumor Suppressor	RNA Binding Protein
RBMX	Tumor Suppressor	RNA Binding Protein
RBP1	Tumor Suppressor	Other Tumor Suppressor
RBPJ	Other	Transcription Factor
RBPJL	Other	Transcription Factor
RBSN	Other	Transcription Factor
RBX1	Oncogene	Epigenetic
RCC2	Oncogene	Other Oncogene
RCHY1	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
RECK	Tumor Suppressor	Other Tumor Suppressor
RECQL	Oncogene	Other Oncogene
RECQL4	Oncogene	Other Oncogene
RECQL5	Oncogene	Other Oncogene
REG3A	Oncogene	Other Oncogene
REG4	Oncogene	Other Oncogene
REL	Oncogene	Transcription Factor
RELA	Oncogene	Transcription Factor
RELB	Oncogene	Transcription Factor
REPIN1	Other	Transcription Factor
REPS2	Oncogene	Other Oncogene
RERE	Oncogene	Other Oncogene
REST	Oncogene	Epigenetic
RET	Oncogene	Kinase
REXO4	Other	Transcription Factor
RFK	Other	Kinase
RFWD2	Tumor Suppressor	Other Tumor Suppressor
RFX1	Other	Transcription Factor
RFX2	Oncogene	Transcription Factor
RFX3	Other	Transcription Factor
RFX4	Other	Transcription Factor
RFX5	Oncogene	Transcription Factor
RFX6	Other	Transcription Factor
RFX7	Other	Transcription Factor
RFX8	Other	Transcription Factor
RGL1	Oncogene	Other Oncogene
RGS1	Oncogene	Other Oncogene
RGS19	Oncogene	Other Oncogene
RGS2	Oncogene	Other Oncogene
RGS3	Oncogene	Other Oncogene
RHBDF2	Oncogene	Other Oncogene
RHBG	Oncogene	Other Oncogene
RHCG	Oncogene	Other Oncogene
RHOA	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
RHOB	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
RHOBTB1	Oncogene	Other Oncogene
RHOBTB2	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
RHOC	Oncogene	Other Oncogene
RHOF	Oncogene	Other Oncogene
RHOG	Oncogene	Other Oncogene
RHOH	Oncogene	Other Oncogene
RHOK	Other	Kinase
RHOXF1	Other	Transcription Factor
RHOXF2	Other	Transcription Factor
RHOXF2B	Other	Transcription Factor
RIGI	Tumor Suppressor	Other Tumor Suppressor
RINT1	Tumor Suppressor	Other Tumor Suppressor
RIOK1	Other	Kinase
RIOK2	Other	Kinase
RIOK3	Other	Kinase
RIOK3ps	Other	Kinase
RIOX2	Oncogene	Other Oncogene
RIPK1	Other	Kinase
RIPK2	Other	Kinase
RIPK3	Other	Kinase
RIPK4	Other	Kinase
RIPK4	Other	Kinase
RITA1	Tumor Suppressor	Other Tumor Suppressor
RLF	Oncogene	Transcription Factor
RLN2	Oncogene	Other Oncogene
RMI2	Oncogene	Other Oncogene
RMND5B	Oncogene	Other Oncogene
RMRP	Oncogene	Other Oncogene
RNASE10	Oncogene	Other Oncogene
RNASEL	Tumor Suppressor	Kinase
RNASET2	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
RNAseL	Other	Kinase
RND3	Tumor Suppressor	Other Tumor Suppressor
RNF111	Tumor Suppressor	Other Tumor Suppressor
RNF139	Oncogene	Other Oncogene
RNF144A	Tumor Suppressor	Other Tumor Suppressor
RNF157	Oncogene	Other Oncogene
RNF180	Tumor Suppressor	Other Tumor Suppressor
RNF213	Oncogene	Other Oncogene
RNF216	Oncogene	Other Oncogene
RNF217-AS1	Oncogene	Other Oncogene
RNF220	Oncogene	Other Oncogene
RNF43	Oncogene	Other Oncogene
RNF7	Oncogene	Other Oncogene
RNF8	Tumor Suppressor	Epigenetic
RNH1	Tumor Suppressor	Other Tumor Suppressor
ROBO1	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
ROCK1	Other	Kinase
ROCK2	Other	Kinase
RON	Other	Kinase
ROR1	Other	Kinase
ROR2	Oncogene or Tumor Suppressor	Kinase
RORA	Other	Transcription Factor
RORB	Other	Transcription Factor
RORC	Oncogene	Transcription Factor
ROS	Other	Kinase
ROS1	Oncogene	Kinase
RPA1	Tumor Suppressor	Other Tumor Suppressor
RPA2	Oncogene	Other Oncogene
RPL10	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
RPL11	Tumor Suppressor	Other Tumor Suppressor
RPL22	Oncogene	Other Oncogene
RPL26	Oncogene	Other Oncogene
RPL5	Tumor Suppressor	Other Tumor Suppressor
RPN1	Oncogene	Other Oncogene
RPRM	Tumor Suppressor	Other Tumor Suppressor
RPS6KA1	Oncogene	Kinase
RPS6KA2	Tumor Suppressor	Kinase
RPS6KA3	Other	Kinase
RPS6KA4	Other	Kinase
RPS6KA5	Other	Kinase
RPS6KA6	Tumor Suppressor	Kinase
RPS6KB1	Other	Kinase
RPS6KB2	Other	Kinase
RPS6KC1	Other	Kinase
RPS6KL1	Other	Kinase
RRAS	Oncogene	Other Oncogene
RRAS2	Oncogene	Other Oncogene
RREB1	Oncogene	Transcription Factor
RRM1	Oncogene	Other Oncogene
RRP9	Oncogene	Other Oncogene
RSF1	Oncogene	Epigenetic
RSK1	Other	Kinase
RSK2	Other	Kinase
RSK3	Other	Kinase
RSK4	Other	Kinase
RSKL1	Other	Kinase
RSKL2	Other	Kinase
RSKR	Other	Kinase
RSPH1	Oncogene	Other Oncogene
RSPO1	Oncogene	Other Oncogene
RSPO2	Oncogene	Other Oncogene
RSPO3	Oncogene	Other Oncogene
RSRP1	Oncogene	Other Oncogene
RTN4	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
RTN4IP1	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
RUNX1	Oncogene or Tumor Suppressor	Transcription Factor
RUNX1T1	Oncogene	Other Oncogene
RUNX2	Oncogene or Tumor Suppressor	Transcription Factor
RUNX3	Oncogene or Tumor Suppressor	Transcription Factor
RUVBL1	Oncogene	Epigenetic
RUVBL2	Oncogene	Epigenetic
RXRA	Other	Transcription Factor
RXRB	Other	Transcription Factor
RXRG	Other	Transcription Factor
RYK	Other	Kinase
RYKps	Other	Kinase
S100A10	Oncogene	Other Oncogene
S100A11	Tumor Suppressor	Other Tumor Suppressor
S100A11P1	Oncogene	Other Oncogene
S100A13	Oncogene	Other Oncogene
S100A14	Oncogene	Other Oncogene
S100A2	Tumor Suppressor	Other Tumor Suppressor
S100A7	Oncogene	Other Oncogene
S100A8	Oncogene	Other Oncogene
S100A9	Oncogene	Other Oncogene
S100B	Oncogene	Other Oncogene
S100P	Oncogene	Other Oncogene
S1PR4	Oncogene	Other Oncogene
SAA1	Tumor Suppressor	Other Tumor Suppressor
SAFB	Tumor Suppressor	RNA Binding Protein
SAFB2	Other	RNA Binding Protein
SAG	Oncogene	Other Oncogene
SAKps	Other	Kinase
SALL1	Other	Transcription Factor
SALL2	Tumor Suppressor	Transcription Factor
SALL3	Other	Transcription Factor
SALL4	Tumor Suppressor	Transcription Factor
SAMD9L	Tumor Suppressor	Other Tumor Suppressor
SARNP	Oncogene	Other Oncogene
SASH1	Tumor Suppressor	Other Tumor Suppressor
SATB1	Oncogene	Epigenetic
SATB2	Other	Epigenetic
SAV1	Oncogene	Other Oncogene
SBDS	Oncogene	Other Oncogene
SBK	Other	Kinase
SBK1	Other	Kinase
SBK2	Other	Kinase
SBK3	Other	Kinase
SBNO1	Oncogene	Other Oncogene
SCAF1	Oncogene	Other Oncogene
SCAMP4	Oncogene	Other Oncogene
SCAND3	Other	Transcription Factor
SCARB1	Oncogene	Other Oncogene
SCGB3A1	Tumor Suppressor	Other Tumor Suppressor
