Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold
SLC17A5,779.4636511412641,0.3966361073602138,0.6565627797249771,0.6041099489775492,0.545770545425031,0.7858051169948259,FALSE
EXT2,2282.5156970238927,0.39661596025512497,0.45052832325478837,0.8803352415000684,0.3786777266543167,0.6678273825608887,FALSE
APH1A,2672.7007434417405,0.3966114687911367,0.40603656426407014,0.9767875696366997,0.32867433120793693,0.6269764005199324,FALSE
PAM,6965.196467946596,0.3962053976506898,0.6339236352678576,0.6250049305753957,0.5319678220575925,0.7783172667422342,FALSE
PIK3R3,1481.7818443055303,0.3961857112293931,0.57509173364052,0.6889087219553777,0.4908807103773328,0.7496407231217425,FALSE
ZFAND2B,762.8317784026416,0.39595811403935194,0.2765368448355169,1.4318457790854828,0.15218796249803473,0.44264549573026524,FALSE
MT-ATP8,13787.304555657152,0.3959074547267479,0.34598227944505355,1.1442998044922215,0.2524993243548496,0.5585596727072798,FALSE
TCAF1P1,893.6090074970388,0.39566777104264933,0.4768788588046478,0.8297028977850612,0.4067067826801989,0.6900395062841225,FALSE
C6orf120,756.7970863904385,0.3955849302632198,0.3865049616991966,1.0234925019438426,0.3060750432790239,0.6111199017977652,FALSE
EIF3CL,4444.524243128855,0.3954751543147788,0.39306791075710473,1.0061242433986468,0.3143558080220756,0.6176602563937483,FALSE
ATP6V0C,5772.583406555409,0.3952797004546027,0.5095348111528978,0.7757658393549677,0.4378872573312243,0.7134710480643112,FALSE
RAF1,4199.890154712711,0.39525915786466476,0.2619543547511481,1.5088856157407797,0.13132801636003752,0.4122450772915587,FALSE
DCUN1D3,1199.5307558700392,0.39525421148615464,0.5192806282928676,0.7611572432146195,0.4465631530057284,0.7187987211105237,FALSE
TST,404.26195335527234,0.3951363856065128,0.47552498587241276,0.8309476838143078,0.40600318443902766,0.689293106092029,FALSE
MAGED2,6103.832951118268,0.3950615328918227,0.53785353616034,0.7345150795365424,0.46263487310030454,0.7310378814853801,FALSE
HMGCL,659.612828585576,0.39494212581149946,0.6754035720931804,0.584749832737059,0.5587159412069029,0.7925956226954013,FALSE
BLVRA,744.2317418355603,0.3947161253962791,0.46395327444995066,0.8507669783433319,0.39489880847938197,0.6793231263759554,FALSE
APPL2,1633.4027736278488,0.39421006373900186,0.3921682820707426,1.0052063916476828,0.3147974780979018,0.6180110898494555,FALSE
EMC4,1139.1573817534922,0.3936106606495455,0.45054123139586316,0.873639598822208,0.38231455408540127,0.6702813854637953,FALSE
KNOP1,1390.8424050232743,0.3936031966370655,0.4594335060763886,0.856714173936679,0.391602868038659,0.677196772028866,FALSE
MDP1,184.03224348042468,0.3935346152972671,0.43891761509871574,0.8966024642432232,0.3699310826680601,0.6615637134429078,FALSE
TMEM201,1530.2787555279958,0.3935228822619207,0.4436455028490883,0.8870210105472038,0.3750675887628413,0.6655526104886709,FALSE
MLST8,1291.6021024195504,0.3935096412498221,0.4271076941326892,0.9213358753672342,0.35687509637254383,0.6512596603740705,FALSE
WDR26,4947.1243314369585,0.3932695199960707,0.4555047179494482,0.8633709037448777,0.38793357164048226,0.6747411463623079,FALSE
RNF14,1086.8229088427854,0.39256151417571783,0.49154861035421726,0.798621959062873,0.4245096508120193,0.7040100124516888,FALSE
CLPTM1,4719.843592831756,0.39232946242945854,0.43773186829991606,0.8962780433446769,0.3701042828115345,0.6617503796033475,FALSE
NCK1-AS1,75.18925380212681,0.392054338998982,0.7161066860289724,0.5474803498526757,NA,NA,NA
PI4KAP2,1702.0812006042627,0.3919155947162711,0.5951206816144373,0.6585481009550642,0.5101859992719038,0.7631770652876007,FALSE
ARID2,2726.2387746889253,0.39167773325694627,0.4595447031846844,0.8523169357465897,0.39403820875916423,0.6789445592790714,FALSE
ATG4A,219.25801896172428,0.39146496043082923,0.3784489237834135,1.0343931131242028,0.30095242266520067,0.6058282688076326,FALSE
SDF2,828.0510599215237,0.39145591875998764,0.3950929421315063,0.9907945119143432,0.3217859296598634,0.622045253684871,FALSE
ZNF816,177.6357088631381,0.3911476288624849,0.4809950976212074,0.8132050218327193,0.41610052068469705,0.6980939424810262,FALSE
EXOSC6,3091.6989166951284,0.39103021104666574,0.3798581985880607,1.0294110078448526,0.3032865785766508,0.6077355309789058,FALSE
DYNC1I2P1,328.6048859474065,0.3909279204274982,0.4568614300102392,0.8556816022283533,0.3921739193097083,0.6776424868396509,FALSE
SMG8,755.016924267798,0.3908586847164766,0.38429591166074595,1.017077394936026,0.3091166129108403,0.614320258319198,FALSE
PARS2,217.62374033206717,0.390852007556068,0.45040851027603845,0.8677722526080369,0.3855190228818695,0.6724204894700982,FALSE
USP10,2617.261784243736,0.3907551870745221,0.37532148732424975,1.0411212794138238,0.29781926469623016,0.6031601501153432,FALSE
STK24,2520.258372041275,0.39066497657542193,0.43767776051825535,0.8925858515471166,0.3720789987201047,0.663498580118757,FALSE
ELOF1,990.3217576432606,0.39049615928510845,0.35546573783129165,1.0985479547692516,0.2719652896285851,0.5770873864829928,FALSE
TNIP2,1137.0211151958445,0.3900124076902274,0.2728780407209101,1.4292553796555514,0.1529308456912762,0.4433264768309318,FALSE
LIMD1,3343.6948085886834,0.38980844191652353,0.376299124068825,1.0359004764657058,0.3002485753274692,0.6054534292047747,FALSE
SNX19,4295.567838251194,0.3896067503665658,0.45392964965112415,0.8582976473689372,0.39072812820054426,0.676371027847183,FALSE
COPG2,638.6748207531451,0.38959949331662713,0.5970961195016803,0.6524904125013842,0.5140848557969571,0.7659413142735696,FALSE
SF3A3,1842.1018327016816,0.3895132710594361,0.46927859048179726,0.8300256584463656,0.40652427680820036,0.6899089615891959,FALSE
EMC9,310.0372179632611,0.3895089638745191,0.504768484041439,0.7716586438913693,0.4403166310019508,0.71513154620110575,FALSE
PISD,1013.24568132937,0.38931651858421934,0.3114670286131341,1.2499445617654135,0.21131979952109356,0.5136424580209301,FALSE
